Confirmation Number,Order Number,Trade Date,Buy/ Sell,Security,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Confirmation Status
75025188,N88384868,14/11/2016,S,NAE,30000,0.029,29.95,840.05,16/11/2016,Confirmed
72931657,N85673132,1/07/2016,S,AMN,20000,0.4,29.95,7970.05,5/07/2016,Confirmed
68820328,N80244897,23/09/2015,S,DVI,270000,0.035,29.95,9420.05,28/09/2015,Confirmed
68537143,N80041870,1/09/2015,S,CDB,20667,0.04,29.95,796.73,4/09/2015,Confirmed
68313271,N79761472,21/08/2015,S,EXE,24000,0.041,29.95,954.05,26/08/2015,Confirmed
67807549,N79129311,13/07/2015,S,ABU,4334,0.25,29.95,1053.55,16/07/2015,Confirmed
67785218,N79098645,10/07/2015,S,WPG,43000,0.033,29.95,1389.05,15/07/2015,Confirmed
67696931,N78986358,3/07/2015,S,MNW,13000,0.063,29.95,789.05,8/07/2015,Confirmed
67678883,N78963451,2/07/2015,S,CZL,20000,0.04,29.95,770.05,7/07/2015,Confirmed
67649818,N78924988,30/06/2015,S,MRV,220000,0.004,29.95,850.05,3/07/2015,Confirmed
67649774,N78924928,30/06/2015,S,WCN,240000,0.006,29.95,1410.05,3/07/2015,Confirmed
65979495,N76848726,18/02/2015,S,SEN,55000,0.09,29.95,4920.05,23/02/2015,Confirmed
65956180,N76791823,17/02/2015,B,SEN,55000,0.091,29.95,5034.95,20/02/2015,Confirmed
65926231,N76780986,13/02/2015,S,SEN,55000,0.088,29.95,4810.05,18/02/2015,Confirmed
65911424,N76762532,13/02/2015,B,SEN,55000,0.09,29.95,4979.95,18/02/2015,Confirmed
65634463,N76422002,22/01/2015,B,DVI,270000,0.018,29.95,4889.95,28/01/2015,Confirmed
65348271,N76056567,23/12/2014,S,AJX,10000,0.51,29.95,5070.05,30/12/2014,Confirmed
65341126,N76051781,22/12/2014,B,AJX,10000,0.475,29.95,4779.95,29/12/2014,Confirmed
65305361,N76008408,18/12/2014,S,PEH,34000,0.135,29.95,4560.05,23/12/2014,Confirmed
65304214,N75998368,18/12/2014,B,PEH,34000,0.145,29.95,4959.95,23/12/2014,Confirmed
65291290,N75991123,17/12/2014,S,OIL,110000,0.04,29.95,4420.05,22/12/2014,Confirmed
65275145,N75971510,16/12/2014,S,AJX,12000,0.385,29.95,4590.05,19/12/2014,Confirmed
65273838,N75969267,16/12/2014,B,AJX,12000,0.395,29.95,4769.95,19/12/2014,Confirmed
65273567,N75936720,16/12/2014,B,OIL,110000,0.045,29.95,4979.95,19/12/2014,Confirmed
65224959,N75902521,11/12/2014,S,MGX,24000,0.215,29.95,5130.05,16/12/2014,Confirmed
65203642,N75885277,10/12/2014,B,MGX,24000,0.205,29.95,4949.95,15/12/2014,Confirmed
65190100,N75837239,9/12/2014,S,MGX,20000,0.19,29.95,3770.05,12/12/2014,Confirmed
65155679,N75830425,8/12/2014,B,MGX,20000,0.205,29.95,4129.95,11/12/2014,Confirmed
65152606,N75825613,5/12/2014,S,OIL,80000,0.043,29.95,3410.05,10/12/2014,Confirmed
65139864,N75810672,5/12/2014,S,VET,18000,0.195,29.95,3480.05,10/12/2014,Confirmed
65139000,N75810276,5/12/2014,B,VET,18000,0.205,29.95,3719.95,10/12/2014,Confirmed
65126135,N75792543,4/12/2014,B,OIL,80000,0.047,29.95,3789.95,9/12/2014,Confirmed
65108631,N75773732,3/12/2014,S,DKM,10000,0.37,29.95,3670.05,8/12/2014,Confirmed
65098736,N75761936,2/12/2014,S,OIL,80000,0.048,29.95,3804.05,5/12/2014,Confirmed
65098254,N75761370,2/12/2014,B,OIL,80000,0.051,29.95,4109.95,5/12/2014,Confirmed
65078364,N75736913,1/12/2014,S,CVT,12000,0.325,29.95,3870.05,4/12/2014,Confirmed
65066357,N75716446,1/12/2014,B,CVT,12000,0.335,29.95,4049.95,4/12/2014,Confirmed
65054846,N75710667,28/11/2014,S,NXR,85000,0.048,29.95,4049.77,3/12/2014,Confirmed
65051879,N75707651,28/11/2014,S,OIL,70000,0.053,29.95,3660.05,3/12/2014,Confirmed
65049565,N75694123,28/11/2014,B,OIL,70000,0.056,29.95,3949.95,3/12/2014,Confirmed
65039037,N75693125,28/11/2014,B,DKM,10000,0.41,29.95,4129.95,3/12/2014,Confirmed
65033855,N75686229,27/11/2014,B,NXR,85000,0.048,29.95,4109.95,2/12/2014,Confirmed
65028782,N75681884,27/11/2014,S,OIL,80000,0.058,29.95,4610.05,2/12/2014,Confirmed
65028197,N75681118,27/11/2014,B,OIL,80000,0.062,29.95,4989.95,2/12/2014,Confirmed
65027710,N75680750,27/11/2014,S,WRR,33000,0.14,29.95,4590.05,2/12/2014,Confirmed
65026946,N75680009,27/11/2014,S,AJX,14000,0.33,29.95,4590.05,2/12/2014,Confirmed
65025754,N75678562,27/11/2014,B,WRR,33000,0.15,29.95,4979.95,2/12/2014,Confirmed
65018460,N75669311,26/11/2014,B,AJX,14000,0.34,29.95,4789.95,1/12/2014,Confirmed
65017027,N75667605,26/11/2014,S,LOM,12000,0.416,29.95,4958.16,1/12/2014,Confirmed
65012273,N75661714,26/11/2014,B,LOM,12000,0.415,29.95,5009.95,1/12/2014,Confirmed
65004085,N75651813,25/11/2014,S,OIL,73000,0.066,29.95,4788.05,28/11/2014,Confirmed
65003698,N75651362,25/11/2014,B,OIL,73000,0.068,29.95,4993.95,28/11/2014,Confirmed
65003337,N75650923,25/11/2014,S,OIL,67000,0.065,29.95,4308.05,28/11/2014,Confirmed
64991053,N75635725,24/11/2014,B,OIL,67000,0.074,29.95,4987.95,27/11/2014,Confirmed
64987408,N75631664,24/11/2014,S,AJX,18000,0.33,29.95,5910.05,27/11/2014,Confirmed
64867760,N75484385,12/11/2014,B,AJX,18000,0.275,29.95,4979.95,17/11/2014,Confirmed
64860979,N75477055,11/11/2014,S,AJX,20000,0.245,29.95,4870.05,14/11/2014,Confirmed
64842363,N75459649,10/11/2014,S,NXR,80000,0.06,29.95,4770.05,13/11/2014,Confirmed
64830856,N75445646,10/11/2014,B,AJX,20000,0.245,29.95,4929.95,13/11/2014,Confirmed
64841429,N75444899,10/11/2014,B,NXR,80000,0.063,29.95,5069.95,13/11/2014,Confirmed
64751381,N75351649,3/11/2014,S,NXR,80000,0.069,29.95,5490.05,7/11/2014,Confirmed
64740288,N75337575,31/10/2014,B,NXR,80000,0.062,29.95,4989.95,6/11/2014,Confirmed
64722501,N75316813,30/10/2014,S,MTA,38000,0.125,29.95,4720.05,5/11/2014,Confirmed
64720459,N75308555,30/10/2014,B,MTA,38000,0.13,29.95,4969.95,5/11/2014,Confirmed
64479863,N75017123,9/10/2014,S,AKK,250000,0.014,29.95,3470.05,14/10/2014,Confirmed
64211111,N74185662,16/09/2014,B,AHZ,30749,0.13,0,3997.37,19/09/2014,Confirmed
64210700,N74185662,15/09/2014,B,AHZ,6251,0.135,29.95,873.84,18/09/2014,Confirmed
64182677,N74659293,12/09/2014,B,TON,13000,0.37,29.95,4839.95,17/09/2014,Confirmed
64183208,N74659904,12/09/2014,S,TON,13000,0.351,29.95,4536.01,17/09/2014,Confirmed
64121416,N74582180,8/09/2014,B,AON,100000,0.037,29.95,3729.95,11/09/2014,Confirmed
64123605,N74584402,8/09/2014,S,AON,100000,0.036,29.95,3570.05,11/09/2014,Confirmed
64115164,N74573491,5/09/2014,S,POZ,200000,0.019,29.95,3770.05,10/09/2014,Confirmed
64111318,N74569147,5/09/2014,B,POZ,200000,0.025,29.95,4939.04,10/09/2014,Confirmed
64115707,N74573993,5/09/2014,S,DYL,250000,0.019,29.95,4720.05,10/09/2014,Confirmed
64104039,N74560305,5/09/2014,S,AON,150000,0.039,29.95,5820.05,10/09/2014,Confirmed
64110535,N74564684,5/09/2014,B,DYL,250000,0.02,29.95,5029.95,10/09/2014,Confirmed
