Trade Date,Confirmation Number,Order Number,Order Type,Code,Units,Average Price ($),Brokerage (inc GST.),Net Proceeds ($),Settlement Date,Status
15/11/2016,22687933,YNHR-N,B,IAM,"115,000",0.042,17.99,"4,847.99",17/11/2016,Confirmed
15/11/2016,22687160,YN2T-N,B,NAE,"175,000",0.028,17.99,"4,917.99",17/11/2016,Confirmed
15/11/2016,22684861,YLRY-N,S,NSL,"250,000",0.046,26.99,"11,473.01",17/11/2016,Confirmed
14/11/2016,22679896,YHSP-N,B,GPP,"190,000",0.026,17.99,"4,957.99",16/11/2016,Confirmed
14/11/2016,22676305,YFWW-N,S,MRQ,"240,000",0.017,17.99,"4,062.01",16/11/2016,Confirmed
9/11/2016,22642489,XQN8-N,B,AGY,"350,000",0.028,19.95,"9,819.95",11/11/2016,Confirmed
8/11/2016,22632732,XMX7-N,S,IAM,"225,000",0.042,19.95,"9,430.05",10/11/2016,Confirmed
7/11/2016,22620940,XC4L-N,B,IAM,"225,000",0.044,19.95,"9,919.95",9/11/2016,Confirmed
4/11/2016,22612029,XC4M-N,S,IAM,"250,000",0.047,26.99,"11,723.01",8/11/2016,Confirmed
3/11/2016,22606170,X6R8-N,B,AHZ,"12,500",0.365,17.99,"4,580.49",7/11/2016,Confirmed
3/11/2016,22604453,X6NV-N,S,GPP,"150,000",0.03,17.99,"4,482.01",7/11/2016,Confirmed
3/11/2016,22603275,X6BF-N,B,GPP,"150,000",0.032,17.99,"4,817.99",7/11/2016,Confirmed
3/11/2016,22603061,X686-N,S,MZN,"235,000",0.02,17.99,"4,682.01",7/11/2016,Confirmed
1/11/2016,22584027,WWGS-N,B,NSL,"250,000",0.037,19.95,"9,269.95",3/11/2016,Confirmed
1/11/2016,22582466,WVRX-N,S,AGY,"190,000",0.033,19.95,"6,250.05",3/11/2016,Confirmed
10/10/2016,22456456,TLF8-N,B,AKM,"130,000",0.038,17.99,"4,957.99",12/10/2016,Confirmed
10/10/2016,22454958,TK79-N,S,4DS,"130,000",0.034,17.99,"4,402.01",12/10/2016,Confirmed
7/10/2016,22443916,TC4D-N,S,VRI,"90,000",0.098,19.95,"8,800.05",11/10/2016,Confirmed
7/10/2016,22445867,TC7J-N,B,FBR,"32,000",0.155,17.99,"4,977.99",11/10/2016,Confirmed
6/10/2016,22440783,T9DW-N,B,4DS,"130,000",0.036,17.99,"4,697.99",10/10/2016,Confirmed
6/10/2016,22440518,T977-N,S,PNX,"165,000",0.027,17.99,"4,437.01",10/10/2016,Confirmed
5/10/2016,22431617,T4JZ-N,B,MZN,"235,000",0.021,17.99,"4,952.99",7/10/2016,Confirmed
5/10/2016,22428237,T2TR-N,S,ZMI,"300,000",0.015,17.99,"4,482.01",7/10/2016,Confirmed
5/10/2016,22428241,T2HY-N,B,VRI,"45,000",0.105,17.99,"4,742.99",7/10/2016,Confirmed
4/10/2016,22424116,SZJ6-N,B,LOM,"15,000",0.509,19.95,"7,660.45",6/10/2016,Confirmed
4/10/2016,22421006,SXNQ-N,S,LOM,"24,000",0.535,26.99,"12,813.01",6/10/2016,Confirmed
4/10/2016,22424606,SZSZ-N,S,AKM,"105,000",0.05,19.95,"5,230.05",6/10/2016,Confirmed
4/10/2016,22422761,SYN4-N,B,PNX,"165,000",0.03,17.99,"4,967.99",6/10/2016,Confirmed
3/10/2016,22413925,STGQ-N,B,VRI,"45,000",0.099,17.99,"4,472.99",5/10/2016,Confirmed
3/10/2016,22416569,SVK9-N,B,ZMI,"300,000",0.016,17.99,"4,817.99",5/10/2016,Confirmed
30/09/2016,22411175,SS83-N,S,NSL,"270,000",0.034,19.95,"9,160.05",5/10/2016,Confirmed
