Confirmation Number, Order Number, Trade Date, Buy / Sell, Stock Code, Units, Average Price, Brokerage, Net Proceeds, Settlement Date, Contract Status
48528640,Unk-48528640,19/01/2011,B,MNM,20000,.205000,29.950000,4129.950000,24/01/2011,Confirmed
48528375,Unk-48528375,19/01/2011,S,RER,210000,.021000,29.950000,4380.050000,24/01/2011,Confirmed
48489344,Unk-48489344,18/01/2011,B,RER,210000,.024000,29.950000,5069.950000,21/01/2011,Confirmed
48487356,Unk-48487356,18/01/2011,S,CEO,120000,.043000,29.950000,5130.050000,21/01/2011,Confirmed
48287640,Unk-48287640,05/01/2011,B,CEO,120000,.030000,29.950000,3629.950000,10/01/2011,Confirmed
48286838,Unk-48286838,05/01/2011,S,CEO,150000,.030000,29.950000,4470.050000,10/01/2011,Confirmed
48244625,Unk-48244625,04/01/2011,B,CEO,150000,.032000,29.950000,4829.950000,07/01/2011,Confirmed
48239052,Unk-48239052,04/01/2011,S,PGM,10000,.468000,29.950000,4650.050000,07/01/2011,Confirmed
48235985,Unk-48235985,04/01/2011,B,PGM,10000,.450000,29.950000,4529.950000,07/01/2011,Confirmed
48152549,Unk-48152549,23/12/2010,S,PEK,10000,.500000,29.950000,4970.050000,30/12/2010,Confirmed
48128134,Unk-48128134,22/12/2010,B,PEK,10000,.520000,29.950000,5229.950000,29/12/2010,Confirmed
48070278,Unk-48070278,17/12/2010,S,GBZ,30000,.148233,29.950000,4417.050000,22/12/2010,Confirmed
48068061,Unk-48068061,17/12/2010,B,GBZ,30000,.165000,29.950000,4979.950000,22/12/2010,Confirmed
48066258,Unk-48066258,17/12/2010,S,RER,220000,.019000,29.950000,4150.050000,22/12/2010,Confirmed
48064010,Unk-48064010,17/12/2010,B,RER,220000,.022000,29.950000,4869.950000,22/12/2010,Confirmed
48062073,Unk-48062073,17/12/2010,S,QMN,30000,.170768,29.950000,5093.080000,22/12/2010,Confirmed
48059541,Unk-48059541,17/12/2010,B,QMN,30000,.170000,29.950000,5129.950000,22/12/2010,Confirmed
48040630,Unk-48040630,16/12/2010,S,LEG,120000,.046000,29.950000,5490.050000,21/12/2010,Confirmed
