Code,Name,Date,Type,ID,Status,Broker,Prev,On,Off,Balance,,,,
ABU,ABM Resources NL,4/07/2014,Capitol Reconstruction,5961700001089200,,Commsec,65000,,60666,4334,,,Commsec:,
ADO,anteo diagnostics,9/07/2014,Bought,0140215407018400,,Commsec,62000,25000,,87000,,,HIN:,0041494565
ADO,anteo diagnostics,11/07/2014,Sold,0140215409762900,,Commsec,87000,,25000,62000,,,PID:,01402
WCN,White Cliff Minerals Limited,3/07/2014,Bought,0140215399107800,,Commsec,240000,410000,,650000,,,,
WCN,White Cliff Minerals Limited,4/07/2014,Sold,0140215400584900,,Commsec,650000,,410000,240000,,,,
MNC,Metminco Limited,14/07/2014,Bought,0638100918507700,,Netwealth,230000,200000,,430000,,,Netwealth:,
NAB,National Australia Bank,8/07/2014,DRP,6025400421018100,,Netwealth,174,6,,180,,,HIN:,0017747592
WCN,White Cliff Minerals Limited,22/07/2014,Bought,0638100924203800,,Netwealth,0,290000,,290000,,,PID:,06381
CCCO,Continental Coal Ltd,2/09/2011,Consolidation - 10:1,-,,-,140000,,,14000,,,,06066
JKA,Jacka Resources Ltd,9/08/2011,Bought,0140214127151900,,Commsec,0,38000,,38000,,,,
JKA,Jacka Resources Ltd,17/08/2011,Bought,0140214151130600,,Commsec,38000,54000,,92000,,,,
SDL,Sundance Resources Ltd,15/08/2011,Bought,0140214146783200,,Commsec,0,21000,,21000,,,,
GOLD,Gold ETFS,11/08/2011,Sold,0140214133607100,,Commsec,34,,4,30,,,,
GOLD,Gold ETFS,15/08/2011,Sold,0140214143555900,,Commsec,30,,30,0,,,,
ADO,anteo diagnostics,16/09/2011,Bought,0638100321396700,,Netwealth,0,71000,,71000,,,,
ADO,anteo diagnostics,23/09/2011,Sold,0638100324257200,,Netwealth,71000,,71000,0,,,,
AKK,Austin Exploration Ltd,14/09/2011,Bought,0638100320026600,,Netwealth,428570,131430,,560000,,,,
IDG,Indago Resources Ltd,5/09/2011,Sold,001111O86VZYFH00,,Netwealth,876,,876,0,,,,
CCCO,Continental Coal Ltd,5/09/2011,Consolidation - 10:1,5942700002857000,,Netwealth,260000,,234000,26000,,,,
WHNO,WHL Energy Limited,12/09/2011,Sold,0638100318574500,,Netwealth,540000,,540000,0,,,,
IDGOA,Indago Resources Ltd,7/09/2011,Sold,001101P05HPW8T00,,Netwealth,165,,165,0,,,,
CCCO,Continental Coal Ltd,2/09/2011,Consolidation - 10:1,-,Repeat?,-,260000,,,26000,,,,
ADO,anteo diagnostics,6/06/2011,Sold,0638100243505100,,Netwealth,56000,,56000,0,,,,
AKK,Austin Exploration Ltd,21/06/2011,Allotment from Priority Issue,6066400000431500,,Netwealth,,428570,,428570,,,,
AVQ,Axiom Mining Ltd,2/06/2011,Sold,0638100232188400,,Netwealth,75000,,75000,0,,,,
AKI,African Iron Ltd,26/08/2011,Bought,0638100311680200,,Netwealth,,17000,,17000,,,,
SRI,SIPA Resources Ltd,25/08/2011,Sold,0638100310683000,,Netwealth,33000,,33000,0,,,,
WHN,WHL Energy Limited,8/09/2011,Sold,0140214180184600,,Commsec,140000,,5000,135000,,,,
WHN,WHL Energy Limited,9/09/2011,Sold,0140214182097800,,Commsec,135000,,135000,0,,,,
CCCO,Continental Coal Ltd,5/09/2011,Consolidation - 10:1,5942700002898400,Repeat?,Commsec,140000,,126000,14000,,,,
AZY,Antipa Minerals Ltd,31/10/2011,Bought,0140214245211400,,Commsec,,22000,,22000,,,,
CTM,Centaurus Metals Ltd,12/10/2011,Consolidation - 8:1,5879400073706800,,Commsec,103800,,103800,0,,,,
CTM,Centaurus Metals Ltd,12/10/2011,Consolidation - 8:1,5879400073706800,,Commsec,,12975,,12975,,,,
FML,Focus Minerals Ltd,31/10/2011,Bought,0140214245012500,,Commsec,,28850,,28850,,,,
FML,Focus Minerals Ltd,31/10/2011,Bought,0140214245289200,,Commsec,28850,121150,,150000,,,,
JKA,Jacka Resources Ltd,19/10/2011,Sold,0140214232677000,,Commsec,92000,,92000,0,,,,
MNM,Mantle Mining Corporation Ltd,27/10/2011,Rights Entitlements,6074900000549000,,Commsec,20000,3334,,23334,,,,
WHNO,WHL Energy Limited,10/10/2011,Bought,0140214222418700,,Commsec,,500000,,500000,,,,
MNMOA,Mantle Mining Corporation Ltd,27/10/2011,Rights Entitlements,6074900000595500,,Commsec,,3334,,3334,,,,
GSEO,Goldsearch Ltd,19/06/2008,Bonus Issue,6130500151821900,,Commsec,,25000,,25000,,,,
GSEO,Goldsearch Ltd,19/06/2008,Bonus Issue,6130500151822000,,Commsec,,30000,,30000,,,,
APG,Austpac Resources,13/09/2007,Sold,0140211638496600,,Commsec,10000,,10000,0,,,,
BLR,Black Range Minerals Ltd,19/09/2007,Bought,0140211646505300,,Commsec,,64000,,64000,,,,
BLR,Black Range Minerals Ltd,20/09/2007,Sold,0140211648402200,,Commsec,64000,,64000,0,,,,
GDN,Golden State Resources,10/09/2007,Sold,0140211631672800,,Commsec,1000,,1000,0,,,,
BIT,Biotron,3/03/2015,Bought,0638101093271700,,Netwealth,,31000,,31000,,,,
MYG,Mutiny Gold Ltd,10/03/2015,Sold,6062000000871100,,Netwealth,48400,,48400,0,,,,
PRR,Prima Biomed Ltd,2/03/2015,Sold,0638101091688100,,Netwealth,140000,,140000,0,,,,
CBS,Cabral Resources Ltd,6/03/2015,Sold,00109565ADA5WX00,,Commsec,240000,,240000,0,,,,
AKK,Austin Exploration Ltd,13/10/2014,Sold,0638100987947800,,Netwealth,1504828,,600000,904828,,,,
AMP,AMP Ltd,10/10/2014,DRP,5870600238204600,,Netwealth,283,6,,289,,,,
CCL,Coca-Cola Amatil Ltd,7/10/2014,DRP,5899002939926100,,Netwealth,9,1,,10,,,,
SHP,Shoply Ltd,28/10/2014,Bought,0638100999878800,,Netwealth,,270000,,270000,,,,
WPL,Woodside Petroleum Ltd,17/10/2014,Bought,0638100992580500,,Netwealth,,125,,125,,,,
BLT,Benitec Biopharma,25/01/2012,Bought,0638100375744900,,Netwealth,,190000,,190000,,,,
NMR,Nimrodel Resources Ltd,23/01/2012,Sold,0638100374372900,,Netwealth,120000,,120000,0,,,,
ROBO,Robe Australia Ltd,25/01/2012,Bought,0638100375839800,,Netwealth,,500000,,500000,,,,
EOC,Endocoal Ltd,13/01/2012,Sold,0140214319626000,,Commsec,17000,,17000,0,,,,
NMR,Nimrodel Resources Ltd,19/01/2012,Bought,0140214325036800,,Commsec,,90000,,90000,,,,
NMR,Nimrodel Resources Ltd,20/01/2012,Sold,0140214326274000,,Commsec,90000,,90000,0,,,,
NMR,Nimrodel Resources Ltd,30/01/2012,Bought,0140214333935500,,Commsec,,70000,,70000,,,,
WHN,WHL Energy Limited,24/01/2012,Bought,0140214329826700,,Commsec,,26302,,26302,,,,
